"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10595","Наличие надписей в незаполненных полях каждого варианта оплаты услуг [2] internet, Номер абонента","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPlaceholdersTest"
"Сумма, отображающаяся в окне оплаты, должна совпадать с суммой, введенной в поле блока ""Онлайн пополнение без комиссии""","12510","Корректность отображения суммы (в том числе на кнопке) в окне оплаты [1] 297777777, 10","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.PayPageTest","test.java.Lesson_11.tests.PayPageTest","presenceOfSum"
"","12796","Наличие иконок платёжных систем в окне оплаты [1] 297777777, 10","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.PayPageTest","test.java.Lesson_11.tests.PayPageTest","presenceOfIconsOfPaymentSystemTest"
"","11103","Наличие надписей в незаполненных полях каждого варианта оплаты услуг [3] instalment, Номер счета на 44","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPlaceholdersTest"
"","12937","Корректность отображения надписей в незаполненных полях для ввода реквизитов карты в окне оплаты [1] 297777777, 10","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.PayPageTest","test.java.Lesson_11.tests.PayPageTest","presenceOfPlaceholdersInPayPageTest"
"Телефон, отображающийся в окне оплаты, должен совпадать с телефоном, введенным в поле блока ""Онлайн пополнение без комиссии""","12824","Корректность отображения номера телефона в окне оплаты [1] 297777777, 10","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.PayPageTest","test.java.Lesson_11.tests.PayPageTest","presenceOfPhone"
"","3437","Наличие логотипов платёжных систем [3] MasterCard","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPaymentSystemLogosTest"
"","3692","Наличие логотипов платёжных систем [4] MasterCard Secure Code","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPaymentSystemLogosTest"
"","4142","Название блока соответствует ""Онлайн пополнение без комиссии""","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","blockTitleTest"
"","10879","Наличие надписей в незаполненных полях каждого варианта оплаты услуг [4] arrears, Номер счета на 2073","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPlaceholdersTest"
"","10311","Наличие логотипов платёжных систем [1] Visa","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPaymentSystemLogosTest"
"При нажатии на ссылку ""Подробнее о сервисе"" открывается страница с названием ""Порядок оплаты и безопасность интернет платежей""","6763","Работа ссылки ""Подробнее о сервисе""","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","linkWorksTest"
"","10704","Наличие надписей в незаполненных полях каждого варианта оплаты услуг [1] connection, Номер телефона","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPlaceholdersTest"
"","3658","Наличие логотипов платёжных систем [5] Белкарт","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPaymentSystemLogosTest"
"","10469","Наличие логотипов платёжных систем [2] Verified By Visa","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","presenceOfPaymentSystemLogosTest"
"После заполнения формы и нажатия кнопки «Продолжить» открывается окно с названием BePaidWidget","11574","Работа кнопки ""Продолжить"" [1] 297777777, 10","","2025-12-26","passed","2025-12-26","","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","test.java.Lesson_11.tests.OnlineReplenishmentBlockTest","buttonWorksTest"
